"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/getAllMessages.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 11, 3, 44
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/getUsers.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 12, 3, 45
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/login.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 14, 3, 51
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/notify.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 2, 13
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/send.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 15, 10, 56
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/signUp.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 14, 4, 69
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/scripts/types.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 6, 42
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/src/setupTests.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Frontend/app/tsconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/README.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 24, 53
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 48714, 219, 173, 18, 795, 650, 482, 22, 25, 399, 332, 51829
